epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,420.543,1.4281,5.25067,1.16849,0.67433,0.65931,0.6859,0.42543,1.35263,4.8229,1.1018,0.000907573,0.000907573,0.000907573
61,424.15,1.44377,5.33289,1.1914,0.6234,0.63542,0.64772,0.39082,1.39869,5.04906,1.12219,0.000904518,0.000904518,0.000904518
62,428.16,1.42805,5.17296,1.18152,0.64404,0.61707,0.65506,0.41205,1.32342,5.08123,1.08888,0.000901419,0.000901419,0.000901419
63,432.072,1.43955,5.34124,1.19257,0.62552,0.6292,0.6143,0.36471,1.42625,5.71651,1.11823,0.000898275,0.000898275,0.000898275
64,435.877,1.46511,5.35826,1.1864,0.61576,0.64271,0.65426,0.41501,1.28532,5.0161,1.09503,0.000895088,0.000895088,0.000895088
65,439.622,1.418,5.22851,1.18531,0.59758,0.60404,0.59576,0.37625,1.29719,5.4991,1.08233,0.000891858,0.000891858,0.000891858
66,443.657,1.42699,5.20112,1.17072,0.65534,0.66936,0.68207,0.42928,1.29494,4.75028,1.08493,0.000888584,0.000888584,0.000888584
67,447.698,1.45522,5.30524,1.17741,0.65012,0.63538,0.65388,0.42535,1.23344,4.95493,1.06541,0.000885268,0.000885268,0.000885268
68,451.612,1.44386,5.25579,1.1846,0.67831,0.66196,0.69267,0.44199,1.26708,4.66901,1.06606,0.00088191,0.00088191,0.00088191
69,455.881,1.47259,5.46184,1.18484,0.65942,0.65486,0.68012,0.43254,1.24779,4.76684,1.07523,0.00087851,0.00087851,0.00087851
70,460.014,1.42354,5.23165,1.17795,0.66878,0.63774,0.67309,0.42943,1.26879,4.83103,1.07167,0.000875068,0.000875068,0.000875068
71,463.811,1.45882,5.30196,1.17929,0.65532,0.65296,0.67402,0.41634,1.38235,5.00763,1.12162,0.000871585,0.000871585,0.000871585
72,467.681,1.44572,5.19555,1.18869,0.64407,0.66732,0.67684,0.41216,1.35815,4.83534,1.1079,0.000868062,0.000868062,0.000868062
73,471.495,1.42551,5.15909,1.17499,0.6106,0.66072,0.66321,0.42333,1.26929,4.78718,1.06866,0.000864498,0.000864498,0.000864498
74,475.209,1.41518,5.19547,1.16821,0.66149,0.66599,0.6838,0.42193,1.35257,4.93019,1.10832,0.000860894,0.000860894,0.000860894
75,478.817,1.42701,5.1498,1.17453,0.61905,0.64332,0.64492,0.40457,1.30046,5.238,1.0875,0.000857251,0.000857251,0.000857251
76,482.541,1.42278,5.14585,1.17313,0.65476,0.66064,0.67301,0.42392,1.27216,4.81014,1.06935,0.000853568,0.000853568,0.000853568
77,486.149,1.39218,5.01318,1.16786,0.6671,0.66211,0.68739,0.4373,1.28551,4.69515,1.08077,0.000849847,0.000849847,0.000849847
78,490.058,1.39016,4.8814,1.1587,0.68928,0.65932,0.69357,0.44318,1.26632,4.71868,1.07586,0.000846087,0.000846087,0.000846087
79,493.927,1.41517,4.99306,1.1543,0.67752,0.64796,0.68116,0.43958,1.22766,4.79013,1.05927,0.000842289,0.000842289,0.000842289
80,498.002,1.45971,5.21354,1.1876,0.65556,0.65942,0.68222,0.42587,1.31244,4.80117,1.08588,0.000838454,0.000838454,0.000838454
81,501.896,1.40674,5.06535,1.16757,0.63922,0.63612,0.64613,0.41132,1.26412,4.9678,1.06932,0.000834582,0.000834582,0.000834582
82,505.63,1.40695,4.94421,1.16168,0.62705,0.63132,0.65343,0.42327,1.2621,4.87104,1.07353,0.000830673,0.000830673,0.000830673
83,509.343,1.4121,4.99095,1.15165,0.64953,0.63406,0.66824,0.4213,1.24643,5.13722,1.08243,0.000826728,0.000826728,0.000826728
84,513.156,1.44907,5.077,1.18631,0.652,0.66153,0.67559,0.43457,1.24655,4.73361,1.06901,0.000822747,0.000822747,0.000822747
85,516.958,1.42162,5.03461,1.1589,0.68465,0.64952,0.67983,0.42053,1.30804,5.0181,1.09687,0.00081873,0.00081873,0.00081873
86,520.796,1.4316,4.96155,1.16958,0.6601,0.63463,0.67067,0.43322,1.23708,4.75145,1.06701,0.000814679,0.000814679,0.000814679
87,524.503,1.4298,5.0668,1.17203,0.69533,0.62802,0.67449,0.42539,1.27283,4.88849,1.07358,0.000810593,0.000810593,0.000810593
88,528.296,1.47427,5.21761,1.18534,0.66109,0.64635,0.66544,0.42183,1.23274,4.91072,1.0693,0.000806473,0.000806473,0.000806473
89,532.041,1.41692,4.98068,1.15973,0.66008,0.64136,0.67686,0.43009,1.26857,4.69755,1.07436,0.000802319,0.000802319,0.000802319
90,535.635,1.40627,4.90607,1.16345,0.6552,0.6512,0.66402,0.40795,1.35266,4.77588,1.10026,0.000798133,0.000798133,0.000798133
91,539.385,1.41595,4.90976,1.15982,0.67195,0.65333,0.68272,0.43015,1.27201,4.70332,1.07157,0.000793913,0.000793913,0.000793913
92,543.117,1.40385,4.89962,1.15342,0.68541,0.64836,0.68194,0.43409,1.26809,4.6277,1.0647,0.000789662,0.000789662,0.000789662
93,546.834,1.383,4.85298,1.14171,0.68645,0.66383,0.69714,0.44098,1.23936,4.61814,1.06869,0.000785378,0.000785378,0.000785378
94,550.546,1.42887,4.97339,1.16601,0.69968,0.66011,0.70106,0.43769,1.2983,4.60867,1.08073,0.000781064,0.000781064,0.000781064
95,554.298,1.4145,4.99933,1.15926,0.6879,0.65392,0.68741,0.43993,1.22557,4.81112,1.0625,0.000776718,0.000776718,0.000776718
96,558.059,1.42304,4.95901,1.16156,0.69855,0.64768,0.68513,0.42257,1.3258,4.78261,1.07735,0.000772342,0.000772342,0.000772342
97,561.817,1.41005,4.91584,1.15125,0.63158,0.62127,0.64032,0.40462,1.28889,5.51416,1.07606,0.000767937,0.000767937,0.000767937
98,565.49,1.40444,4.98273,1.17351,0.68668,0.6458,0.68026,0.4348,1.29553,4.75587,1.07835,0.000763502,0.000763502,0.000763502
99,569.115,1.39806,5.00743,1.16931,0.677,0.65225,0.67512,0.41628,1.35756,4.83751,1.09515,0.000759038,0.000759038,0.000759038
100,572.891,1.40718,4.89648,1.15502,0.67261,0.66071,0.68489,0.43818,1.24195,4.63182,1.0642,0.000754545,0.000754545,0.000754545
101,576.439,1.40063,4.89311,1.16441,0.65062,0.63975,0.66525,0.4295,1.25486,4.98695,1.06391,0.000750025,0.000750025,0.000750025
102,580.041,1.38703,4.82588,1.14068,0.67422,0.67933,0.69606,0.44843,1.26881,4.64849,1.07169,0.000745477,0.000745477,0.000745477
103,583.714,1.37854,4.73084,1.14048,0.65691,0.65174,0.68035,0.42528,1.35173,4.81535,1.10165,0.000740903,0.000740903,0.000740903
104,587.394,1.43566,5.01914,1.16148,0.66759,0.66335,0.69006,0.42764,1.36116,4.68388,1.10332,0.000736302,0.000736302,0.000736302
105,590.988,1.37183,4.76469,1.14794,0.61563,0.66258,0.65255,0.41069,1.32203,4.85284,1.08281,0.000731675,0.000731675,0.000731675
