epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,290.852,1.6338,5.73804,1.21394,0.6591,0.65418,0.67345,0.31047,1.92614,5.70979,1.48401,9.36248e-05,9.36248e-05,9.36248e-05
67,294.743,1.63763,5.79081,1.21117,0.65595,0.66024,0.67826,0.34971,1.72198,5.44678,1.36307,9.34316e-05,9.34316e-05,9.34316e-05
68,298.435,1.64655,5.8491,1.22416,0.65083,0.66095,0.6759,0.34656,1.73649,5.46537,1.36886,9.32357e-05,9.32357e-05,9.32357e-05
69,301.986,1.59344,5.55931,1.19348,0.65927,0.65011,0.6702,0.30397,1.95985,5.7695,1.50023,9.30371e-05,9.30371e-05,9.30371e-05
70,305.48,1.63701,5.80657,1.22127,0.6563,0.6564,0.67326,0.31126,1.92616,5.64562,1.47881,9.28359e-05,9.28359e-05,9.28359e-05
71,308.962,1.62389,5.70311,1.22869,0.66155,0.66012,0.6773,0.32095,1.87798,5.58353,1.4537,9.2632e-05,9.2632e-05,9.2632e-05
72,312.437,1.62819,5.66061,1.21755,0.6723,0.65483,0.67855,0.31951,1.8854,5.58025,1.46006,9.24255e-05,9.24255e-05,9.24255e-05
73,316.084,1.65574,5.72897,1.21493,0.65895,0.65794,0.67991,0.33626,1.80169,5.47078,1.41138,9.22164e-05,9.22164e-05,9.22164e-05
74,319.56,1.60635,5.53431,1.22694,0.65789,0.65983,0.67715,0.31291,1.91786,5.60645,1.47808,9.20047e-05,9.20047e-05,9.20047e-05
75,323.028,1.65337,5.72922,1.22201,0.66058,0.64611,0.67271,0.32036,1.87287,5.56476,1.45151,9.17904e-05,9.17904e-05,9.17904e-05
76,326.53,1.61173,5.52583,1.21004,0.65454,0.65884,0.67453,0.3181,1.88578,5.66066,1.46401,9.15735e-05,9.15735e-05,9.15735e-05
77,330.005,1.61571,5.65156,1.21135,0.65863,0.65252,0.67469,0.31286,1.91592,5.60173,1.47699,9.1354e-05,9.1354e-05,9.1354e-05
78,333.471,1.6101,5.61345,1.21409,0.65117,0.66563,0.67934,0.33203,1.8193,5.49711,1.41649,9.1132e-05,9.1132e-05,9.1132e-05
79,336.97,1.59859,5.61005,1.2027,0.65684,0.66186,0.67805,0.32291,1.86801,5.5233,1.43978,9.09075e-05,9.09075e-05,9.09075e-05
80,340.432,1.61557,5.59386,1.21795,0.66886,0.65362,0.67613,0.31182,1.93083,5.61278,1.47774,9.06804e-05,9.06804e-05,9.06804e-05
81,343.903,1.58674,5.36241,1.18855,0.66798,0.66087,0.68253,0.34388,1.76871,5.3747,1.38386,9.04509e-05,9.04509e-05,9.04509e-05
82,347.659,1.60072,5.52091,1.20829,0.66559,0.65944,0.68217,0.34083,1.78127,5.37493,1.3905,9.02188e-05,9.02188e-05,9.02188e-05
83,351.492,1.60761,5.50351,1.20273,0.66285,0.66278,0.67964,0.32621,1.85448,5.4966,1.43319,8.99842e-05,8.99842e-05,8.99842e-05
84,355.33,1.59976,5.45361,1.1953,0.67148,0.66164,0.68261,0.33926,1.78229,5.41271,1.39572,8.97472e-05,8.97472e-05,8.97472e-05
85,359.132,1.5988,5.50472,1.21902,0.66246,0.66486,0.68417,0.34047,1.77874,5.3705,1.39411,8.95078e-05,8.95078e-05,8.95078e-05
86,362.933,1.58638,5.50311,1.2033,0.66902,0.65082,0.68538,0.33162,1.82215,5.42968,1.42508,8.92659e-05,8.92659e-05,8.92659e-05
87,366.84,1.61075,5.51951,1.19327,0.67485,0.64311,0.68183,0.31932,1.8772,5.49636,1.45832,8.90215e-05,8.90215e-05,8.90215e-05
88,370.651,1.60686,5.58548,1.19728,0.65856,0.66216,0.68281,0.33854,1.77839,5.37233,1.39837,8.87748e-05,8.87748e-05,8.87748e-05
89,374.427,1.60275,5.58538,1.19909,0.66815,0.66019,0.6865,0.35092,1.7206,5.28427,1.3627,8.85257e-05,8.85257e-05,8.85257e-05
90,378.216,1.57085,5.37109,1.20011,0.6809,0.64944,0.68635,0.34865,1.73441,5.30456,1.37076,8.82742e-05,8.82742e-05,8.82742e-05
91,382.033,1.58608,5.41005,1.19289,0.6713,0.6541,0.68575,0.34715,1.74385,5.3188,1.37919,8.80203e-05,8.80203e-05,8.80203e-05
92,385.891,1.60023,5.54711,1.20175,0.66769,0.66393,0.68663,0.34433,1.75433,5.29532,1.38428,8.77641e-05,8.77641e-05,8.77641e-05
93,389.475,1.56735,5.28157,1.17457,0.65723,0.66917,0.68783,0.36504,1.65698,5.1981,1.33127,8.75056e-05,8.75056e-05,8.75056e-05
